slug	toplam	gorunur_kart_ONCE	gorunur_kart_SONRA	fark	gizli_ONCE	ssr_kart_SONRA	bag_SONRA	model_btn	bayt_ONCE	bayt_SONRA
3m	22	22	22	0	0	22	0	0	38331	47189
alfa-romeo	61	29	61	32	32	61	0	6	45027	69653
alpine	5	5	5	0	0	5	0	0	31270	40128
anker	4	4	4	0	0	4	0	0	31167	40025
apple	15	15	15	0	0	15	0	0	36307	45165
audi	331	200	331	131	131	80	94	6	130968	97051
beneteau	15	15	15	0	0	15	0	0	35740	44598
bmw	2347	1010	2347	1337	1337	80	532	104	528394	189895
bosch	12	12	12	0	0	12	0	0	35373	44231
canon	3	3	3	0	0	3	0	0	30355	39213
champion	20	20	20	0	0	20	0	0	37599	46457
chery	3	3	3	0	0	3	0	0	30270	39128
chevrolet	27	27	27	0	0	27	0	0	42772	51630
chrysler	44	30	44	14	14	44	0	4	44573	60583
citroen	414	177	414	237	237	80	15	27	126188	87822
cupra	5	5	5	0	0	5	0	0	31380	40238
dacia	133	44	133	89	89	80	0	8	51099	76424
datsun	19	13	19	6	6	19	0	3	35787	47832
dl650	21	21	21	0	0	21	0	0	38445	47303
dodge	10	10	10	0	0	10	0	0	33955	42813
dr-z400	19	19	19	0	0	19	0	0	37792	46650
f800gs	17	17	17	0	0	17	0	0	37088	45946
fiat	81	61	81	20	20	80	0	3	61067	81116
ford	2583	488	2583	2095	2095	80	332	67	267948	147072
garmin	90	90	90	0	0	80	10	0	71789	77672
gopro	45	45	45	0	0	45	0	0	50054	58912
grom	15	15	15	0	0	15	0	0	35631	44489
honda	2023	1541	2023	482	482	80	502	108	770127	188236
huawei	3	3	3	0	0	3	0	0	30365	39223
husqvarna	3	3	3	0	0	3	0	0	30550	39408
hyundai	587	557	587	30	30	80	254	10	291770	122814
ikea	4	4	4	0	0	4	0	0	31005	39863
infiniti	13	13	13	0	0	13	0	0	34984	43842
international	43	43	43	0	0	43	0	0	49516	58374
iveco	3	3	3	0	0	3	0	0	30259	39117
jabsco	44	44	44	0	0	44	0	0	50461	59319
jaguar	11	11	11	0	0	11	0	0	34026	42884
jeanneau	15	14	15	1	1	15	0	1	36111	45612
jeep	8	8	8	0	0	8	0	0	32669	41527
johnson-pump	19	19	19	0	0	19	0	0	38614	47472
k100	30	30	30	0	0	30	0	0	43272	52130
kawasaki	13	13	13	0	0	13	0	0	35212	44070
kenwood	3	3	3	0	0	3	0	0	30407	39265
kia	347	273	347	74	74	80	21	14	154924	81057
lancia	5	5	5	0	0	5	0	0	31546	40404
land-rover	87	28	87	59	59	80	0	5	44025	80409
lexus	30	28	30	2	2	30	0	2	43051	52947
man	4	4	4	0	0	4	0	0	30786	39644
mazda	92	27	92	65	65	80	0	7	43383	79695
mercedes	1039	604	1039	435	435	80	219	64	336068	128865
mercury	244	244	244	0	0	80	164	0	146574	105431
mini	31	26	31	5	5	31	0	2	41939	53442
mitsubishi	666	474	666	192	192	80	66	31	262177	95801
mt-07	31	31	31	0	0	31	0	0	43412	52270
mt-09	30	30	30	0	0	30	0	0	42848	51706
ngk	117	117	117	0	0	80	37	0	76605	75733
nissan	1059	891	1059	168	168	80	178	57	458189	121036
opel	493	129	493	364	364	80	0	40	102847	88307
peugeot	628	340	628	288	288	80	87	25	204662	100114
porsche	64	39	64	25	25	64	0	8	50368	72587
r1200gs	92	92	92	0	0	80	12	0	73736	79308
r1200rt	20	20	20	0	0	20	0	0	38662	47520
r1250gs	19	19	19	0	0	19	0	0	38209	47067
raspberry-pi	7	7	7	0	0	7	0	0	32710	41568
raymarine	32	32	32	0	0	32	0	0	43780	52638
renault	832	312	832	520	520	80	77	37	183338	96618
saab	5	5	5	0	0	5	0	0	31364	40222
samsung	19	19	19	0	0	19	0	0	38443	47301
sea-doo	18	18	18	0	0	18	0	0	36747	45605
seat	89	69	89	20	20	80	0	5	64760	79584
sierra	149	149	149	0	0	80	69	0	99890	88623
sika	17	17	17	0	0	17	0	0	37629	46487
skoda	292	119	292	173	173	80	4	14	91905	82110
smart	10	10	10	0	0	10	0	0	33685	42543
sony	5	5	5	0	0	5	0	0	31409	40267
stanley	3	3	3	0	0	3	0	0	30397	39255
subaru	110	53	110	57	57	80	0	9	57041	81425
suzuki	846	413	846	433	433	80	136	65	236096	114711
sv650	24	24	24	0	0	24	0	0	39848	48706
t-n-r-700	15	15	15	0	0	15	0	0	36448	45306
tecnoseal	106	106	106	0	0	80	26	0	79444	80500
teleflex	149	149	149	0	0	80	69	0	102979	90678
tesla	7	7	7	0	0	7	0	0	32285	41143
thule	3	3	3	0	0	3	0	0	30460	39318
tmc	22	22	22	0	0	22	0	0	38747	47605
tomtom	7	7	7	0	0	7	0	0	32471	41329
toyota	1358	538	1358	820	820	80	222	52	296464	125934
v-strom	40	40	40	0	0	40	0	0	47367	56225
volkswagen	1383	484	1383	899	899	80	255	63	278885	136381
volvo	729	360	729	369	369	80	184	27	207545	114300
webasto	3	3	3	0	0	3	0	0	30437	39295
xiaomi	8	8	8	0	0	8	0	0	32930	41788
yamaha	1059	604	1059	455	455	80	500	83	330270	181277
